video_name,x_2D_shot,y_2D_shot,x_2D_rebound,y_2D_rebound
DEF REB (25),237.971718370225,295.32421068039923,207.94434342348544,312.68166938393205
DEF REB (32),257.33580186209696,313.48286678925524,191.62763443761037,394.99613828222755
DEF REB (40),938.0177433179224,160.9605654039091,954.8057538691578,279.4892014115147
DEF REB (40),925.4090930620913,282.57300587366086,1023.3077005102123,391.66191185815507
DEF REB (60),,,,
DEF REB (60),283.9316530710489,252.72435093728316,299.6134253702431,457.30268878103465
DEF REB (67),1127.1849327275625,-240.0143658492983,1029.505798619537,394.1325108703219
DEF REB (71),1004.5400271213604,332.6620547212988,1025.5380631648754,393.4149791717361
DEF REB (79),,,,
DEF REB (79),,,447.50919070492114,169.05179690498034
DEF REB (83),154.63911705411195,92.32204960563708,123.73598537772257,81.6103692074826
DEF REB (84),,,469.01412256032114,251.86334011847296
DEF REB (84),392.42773321324773,176.86324080004943,180.94518518566585,396.88840550418394
DEF REB (85),239.7703695069066,48.55897659247972,,
DEF REB (93),721.5889779579209,635.3516870551503,1016.1514106724469,84.45637759828779
DEF REB (93),,,,
DEF REB (93),,,,
DEF REB (93),987.1672924926003,365.4772168064065,996.9793026877231,403.6332644702605
DEF REB (93),999.4813546103327,393.84038042340825,933.1161742367851,271.6909077161207
DEF REB (94),246.97195255866177,337.6408357639608,201.08184345682798,393.0811557504502
DEF REB (108),,,,
DEF REB (108),814.7811733917479,154.9309214625308,1040.2776193768598,399.63979542948726
DEF REB (110),1025.4979479979029,339.31242593625666,1023.5073843824982,315.0078366263069
DEF REB (110),1038.1296171629197,209.18183998925267,1015.2335798886415,332.2352750165233
DEF REB (115),1029.0720439827548,550.8744924041937,1034.9541700769732,396.7442250224254
DEF REB (117),1036.1569223891954,452.0946400746641,1032.3564444859128,353.60600193712554
DEF REB (126),,,,
DEF REB (141),980.3555804799396,370.12751527316107,1037.756660745779,397.6159926480588
DEF REB (146),,,,
DEF REB (146),,,214.59933567615647,161.46788048892486
DEF REB (146),368.10804436977776,326.6784451268172,221.97707807809496,359.04054882208425
DEF REB (150),,,,
DEF REB (150),256.15350415747173,419.5539513059642,183.98106801503096,401.56587592471675
DEF REB (152),198.57291546056575,362.0598784058212,245.30292188975972,430.2302108670382
DEF REB (154),,,,
DEF REB (154),421.0410451197705,347.13758609159083,211.43931971915052,370.8352247459181
DEF REB (158),,,,
DEF REB (158),862.7557159794272,140.597987568245,949.5616612631051,321.26448659443594
DEF REB (159),892.8064756919204,255.2814841972604,1026.9511477170563,394.3439918503468
DEF REB (159),,,1003.8936785230972,359.6285088427713
DEF REB (161),1036.0597688017615,118.24923068341788,1043.6176592400539,297.30443579284275
DEF REB (163),734.7175131447888,966.2269707847502,1023.7619751180357,333.75647901682953
DEF REB (165),985.1433580994761,255.28453710956015,994.9653475691106,388.0094602891371
DEF REB (168),938.2932266169565,272.73698242232194,966.9300941150212,401.60425391841085
DEF REB (169),928.9482834901756,141.31072569809766,1029.5755931576095,531.8099716604473
DEF REB (176),980.562780867895,539.3997048213089,1040.2251244671425,351.1721616212852
DEF REB (177),986.0048446715915,155.51052030098896,1067.2299954509936,629.3372071902318
DEF REB (178),808.6459085521324,499.2932898043045,1012.6655393096986,384.9265850968301
DEF REB (179),203.89997644241518,595.5479747970606,185.42694969792564,394.8512820931572
DEF REB (180),271.0116160784284,357.83492016954546,172.04478152463562,401.4904000550237
DEF REB (182),,,,
DEF REB (182),,,207.07830705703947,394.8938401488568
DEF REB (185),397.59167124046047,462.8432006860352,224.4696774437835,462.680667972205
DEF REB (186),,,,
DEF REB (186),174.52480089505116,597.1281150266447,177.37422727010542,301.4431754644603
DEF REB (187),175.85040708800202,241.55129901423211,178.96329687188606,349.9079170978904
DEF REB (198),,,,
DEF REB (198),1034.6038014424423,510.7016767854106,1037.8891636250914,399.83059315178133
DEF REB (199),,,,
DEF REB (199),912.090710423701,204.930106247738,1039.0656473775923,404.8978375068419
DEF REB (205),953.2200813198646,357.2648467440863,1001.3101242268007,325.03247840510625
DEF REB (213),369.1582513311803,480.534259257067,183.6109839007891,443.71448927326435
DEF REB (215),292.51716589748975,371.9575595854081,197.1114971082693,381.70136425888586
DEF REB (217),257.49336803906453,455.8200419088538,188.28084902064006,403.56088830217556
DEF REB (223),211.45658705542772,651.3853608883041,204.42565671676184,260.00710162670225
DEF REB (224),393.4468183489592,328.0378027823102,206.44906227415495,380.2154035835728
DEF REB (227),408.54710965482957,188.69136008274128,195.5738754537138,396.59859393847574
DEF REB (238),970.739953523099,393.6595974049455,1014.5944233839565,330.0717001626466
DEF REB (245),191.92086467893913,399.4760362442318,180.31284331337008,274.95184139188393
DEF REB (251),396.7424982027845,89.1481131096583,222.61337528685885,249.34750942667762
DEF REB (255),,,,
DEF REB (255),176.22046818048577,228.59677347580097,192.78929650040848,285.6851182687801
DEF REB (258),1040.0476383891323,401.5061519961757,1013.2852675798733,393.3465721424083
DEF REB (262),903.166450601568,73.9329181480366,983.1863577424131,318.19906267110343
DEF REB (263),,,,
DEF REB (263),,,738.8027566368276,74.85636472077148
DEF REB (263),1064.451080983745,453.69558482591725,1053.2867080039205,299.5895485385591
DEF REB (265),,,,
DEF REB (265),1001.1539943419881,654.5265195857353,1036.5916435336508,310.1633889250393
DEF REB (269),,,,
DEF REB (269),773.3288452666063,330.5507604156484,989.5340097691289,342.790056955415
DEF REB (272),,,978.566993898546,453.2367110566587
DEF REB (273),,,,
DEF REB (273),819.9650760639116,325.07566402320606,1006.0685186447535,363.9727781571111
DEF REB (278),390.61268586320233,346.54609882498687,223.75152474243282,380.4552964348091
DEF REB (278),177.86582271454944,314.16979586752575,310.8823719067753,242.55008092581448
DEF REB (287),232.2957101425541,385.6312472893253,196.80042456132753,402.9812663681605
DEF REB (289),996.7830739189388,359.8497265288646,1023.9425658298197,393.328067224467
DEF REB (294),1014.2782057953949,620.9040596247004,1024.9864812620258,392.3411713629684
DEF REB (294),1025.3598718193696,392.5236736829389,1039.427215668739,262.6303969957174
DEF REB (299),,,,
DEF REB (301),190.54192909814222,395.53794421402864,229.74979294951865,364.6570652410586
DEF REB (303),,,,
DEF REB (303),249.5512820088892,327.14219294125354,200.75996565180705,393.01731526108983
DEF REB (304),223.69349033457866,277.8120988364405,187.50247902730962,398.87606247401584
DEF REB (308),197.06458630041305,498.84022076344075,194.19524985905423,395.2340293271972
DEF REB (312),221.4763211236209,349.13029675169196,191.06997117774563,396.1128660477046
DEF REB (323),1037.7713160199548,421.50879177900805,1042.725208131263,402.668007345521
DEF REB (333),175.60057510965382,433.94450717405766,197.29391447640182,433.5007554797075
DEF REB (335),248.6441529438769,380.42277324977624,202.96919162046424,397.5237190860464
DEF REB (650),214.69645293009708,397.83103162547826,192.310118516481,343.9086108208874
DEF REB (657),276.4865594330705,366.50645884643825,203.24080178420962,391.2816725263472
DEF REB (682),,,,
DEF REB (682),197.71321717923135,303.3527968179935,289.84843010431274,397.18390905110795
DEF REB (686),237.46585438311564,32.995774011014795,126.58994990697762,129.18808246468055
DEF REB (689),233.9551614792036,326.085811874963,194.40170593402732,387.1314234038005
DEF REB (692),,,,
DEF REB (692),388.77509955462745,333.0306047736332,229.2741719789343,315.47855602584275
DEF REB (713),1028.710087131367,445.57443687579297,1023.2859763373833,366.85581136281576
DEF REB (715),948.0947250049427,380.2725218008592,1028.9675097333666,400.6862730860514
DEF REB (732),157.61976465541144,282.7120475334183,154.21041780729234,291.37923014464366
DEF REB (732),163.95888878769298,-61.26692239897773,186.15137607115787,386.93501616985697
DEF REB (733),236.6556100367853,332.24260575976245,153.40724007607866,302.62053550091605
DEF REB (733),163.86942085530896,326.5081793857508,172.19164511282372,384.8569534569692
DEF REB (737),871.878191833845,254.96243801310294,990.4433214685533,312.07852642035226
DEF REB (738),,,,
DEF REB (738),,,999.8268289551667,366.13832183217386
DEF REB (742),670.2985284266704,696.4513089396479,1062.1990722017988,375.87469920081503
DEF REB (742),,,1037.3062385938945,398.8324682490894
DEF REB (751),193.4612517797211,422.9298502125713,192.09746849624162,396.5769134042825
DEF REB (753),,,,
DEF REB (824),826.6035445365301,378.59943192343735,993.2173394514734,251.95099535676383
DEF REB (824),888.7996301526489,518.7484366092641,977.8681492663009,304.85146388871453
DEF REB (911),,,,
DEF REB (911),,,,
DEF REB (911),945.7764933811263,123.0277599253799,1020.437416273851,211.44107516591768
DEF REB (1153),,,,
DEF REB (1153),1027.7534116002312,392.9018846093546,1022.0985969329756,309.46428863053586
DEF REB (1230),975.2854735288258,385.83527543246237,998.2752397857744,361.9039189290415
DEF REB (1231),,,,
DEF REB (1231),973.7993917214751,382.40302665886304,1005.9737662041391,361.2080570923276
DEF REB (1241),200.71025765204928,393.6094478618942,198.83777239125266,351.7027221708272
DEF REB (1246),384.8272893119549,239.63875554232249,194.73640754661318,393.39249803280694
DEF REB (1261),,,,
DEF REB (1261),895.9317992392189,258.4920265817179,1008.9643224879167,282.2139319851868
DEF REB (1337),,,,
DEF REB (1337),1050.1258963991347,230.89568503147706,1041.819182821771,402.9411045031359
DEF REB (1361),,,,
DEF REB (1361),797.3571266024364,398.9863362467756,1004.6248845244415,333.4314705520862
DEF REB (21),239.96840831711506,212.76844267191964,202.40604876742472,392.48824768494785
DEF REB (100),,,,
DEF REB (100),185.53003453432314,276.73132428673546,194.47936014967175,396.13470497462055
DEF REB (108),,,,
DEF REB (108),814.7811733917479,154.9309214625308,1040.2776193768598,399.63979542948726
DEF REB (110),1025.4979479979029,339.31242593625666,1023.5073843824982,315.0078366263069
DEF REB (110),1038.1296171629197,209.18183998925267,1015.2335798886415,332.2352750165233
DEF REB (112),1015.79084119877,472.5002324278515,1021.5616618370583,391.7129394872071
DEF REB (114),852.4323201489786,171.79098321880636,998.1544189421319,385.4761848254493
DEF REB (115),1029.0720439827548,550.8744924041937,1034.9541700769732,396.7442250224254
DEF REB (116),,,,
DEF REB (116),991.9327135173094,346.77011783646964,1026.6403765286852,338.44019571899025
DEF REB (117),1036.1569223891954,452.0946400746641,1032.3564444859128,353.60600193712554
DEF REB (118),192.16627581790192,394.4282171730712,206.89276261888753,389.5633532050455
DEF REB (119),196.12704427433692,393.6174278021024,218.11326309707417,361.13175312237945
DEF REB (123),198.4521996672364,310.52673704492383,187.88202096986575,578.8960787297295
DEF REB (126),,,,
DEF REB (137),1017.6284920713803,246.91919468321345,,
DEF REB (141),980.3555804799396,370.12751527316107,1037.756660745779,397.6159926480588
DEF REB (146),,,,
DEF REB (146),,,214.59933567615647,161.46788048892486
