frame,tracking_id,class_id,x_center,y_center,width,height,confidence
0,1,2,580.79456,362.81995,114.56299,367.4475,0.8163014650344849
0,2,2,543.92535,561.1339,92.107544,312.0244,0.8150731921195984
0,3,2,991.3628,487.67178,136.4856,347.10138,0.6709487438201904
0,4,2,704.4729,381.65778,191.51697,362.56238,0.5909268260002136
1,1,2,590.80817,354.763,112.976074,362.84448,0.8425794243812561
1,2,2,542.21533,556.5646,94.793884,320.875,0.811303436756134
1,3,2,991.1435,478.86652,132.86316,338.4182,0.7342105507850647
1,4,2,707.65796,420.68668,151.58374,285.0755,0.6175900101661682
2,1,2,597.7388,354.71405,114.11102,366.80505,0.8222764730453491
2,2,2,546.526,546.64075,100.6431,341.37347,0.7792360186576843
2,3,2,995.03687,486.77527,131.79987,336.564,0.6221672892570496
3,1,2,608.8393,352.92935,114.05505,367.20282,0.8362315893173218
3,2,2,553.85645,539.0953,104.695496,357.43018,0.7907202243804932
3,3,2,1004.99225,493.73572,133.10999,340.90353,0.52186518907547
4,1,2,612.4947,352.79062,113.96448,367.826,0.8361372351646423
4,2,2,556.2177,533.169,107.2601,369.3284,0.7881711721420288
5,1,2,623.5393,353.44965,114.04254,368.8126,0.8177803754806519
5,2,2,557.5229,545.20435,100.18057,345.67886,0.763841986656189
6,1,2,629.5434,354.80298,115.56091,369.53433,0.809066891670227
6,2,2,582.23737,545.89844,100.83557,345.2392,0.5489981770515442
7,1,2,646.09973,365.9058,117.994995,377.36798,0.7541351914405823
7,2,2,588.9561,547.6915,98.67151,339.35605,0.748270571231842
8,1,2,664.51526,367.64117,118.569336,380.7649,0.7131264209747314
9,1,2,673.22504,373.28235,124.36572,395.42297,0.5889914631843567
10,1,2,672.66174,377.35602,127.02551,397.4019,0.5819512009620667
11,1,2,727.02814,385.78217,137.10266,397.18274,0.6785222291946411
12,1,2,742.6405,402.9602,132.96783,384.96573,0.7653530240058899
13,1,2,755.5156,412.25473,132.79468,377.6789,0.6975876092910767
14,1,2,772.8932,431.11633,132.16522,373.43796,0.825714111328125
14,5,2,961.3364,403.10007,109.08319,244.23029,0.8131358623504639
14,6,2,798.1471,432.62384,233.4812,372.36633,0.676795244216919
15,1,2,789.3804,444.81476,133.5578,367.9963,0.869856059551239
15,5,2,981.1658,411.33112,106.01239,236.60086,0.715848982334137
16,1,2,794.9214,449.39862,136.06683,366.51053,0.8710477352142334
16,5,2,987.3139,413.8352,105.29529,233.91345,0.7234707474708557
17,1,2,813.53357,457.818,136.70428,357.1161,0.860048234462738
17,5,2,1009.13074,435.49387,139.02155,311.46906,0.7840090394020081
18,5,2,1033.2399,447.28552,152.52637,345.10312,0.753903329372406
18,6,2,831.1721,460.13174,223.32397,356.2575,0.8292050361633301
19,5,2,1059.4991,433.56622,138.38922,314.91776,0.740985095500946
19,6,2,875.833,466.1759,224.14081,352.38626,0.7210336327552795
19,3,2,1066.899,475.70575,146.02753,389.53165,0.6924481391906738
20,5,2,1088.6753,425.9071,129.03357,296.11047,0.7171929478645325
