frame,class_id,confidence,x_center,y_center,width,height,kp1_x,kp1_y,kp2_x,kp2_y,kp3_x,kp3_y,kp4_x,kp4_y,kp5_x,kp5_y,kp6_x,kp6_y,conf_kp1,conf_kp2,conf_kp3,conf_kp4,conf_kp5,conf_kp6
0,1,0.9791161417961121,648.5,292.0,377.0,354.0,581.2318725585938,267.657470703125,729.6951293945312,316.21356201171875,932.906005859375,394.88751220703125,,,483.2604675292969,361.0866394042969,638.662841796875,454.4351501464844,0.5849414,0.7151319,0.8268239,0.06364008,0.7831702,0.8157555
1,1,0.9759085178375244,647.1983642578125,292.43389892578125,377.8836975097656,354.8677673339844,578.6515502929688,267.4930725097656,727.65771484375,316.15478515625,931.8914794921875,394.91815185546875,,,482.4705810546875,361.72698974609375,636.5958251953125,454.8271484375,0.57964206,0.7151573,0.8282049,0.06520158,0.77496165,0.8086129
2,1,0.9722836017608643,644.6390380859375,292.50823974609375,377.98382568359375,355.0164489746094,577.6178588867188,268.10369873046875,726.731689453125,316.32452392578125,929.8131713867188,395.57781982421875,,,481.2961120605469,363.6263427734375,635.388916015625,455.957275390625,0.57567585,0.70707226,0.8248562,0.06476763,0.77632093,0.8064685
3,1,0.9694404602050781,641.9508666992188,292.905029296875,378.7529602050781,355.8100280761719,575.8193969726562,267.76519775390625,725.1885986328125,316.4527893066406,928.7303466796875,395.7420349121094,,,479.4971923828125,364.59466552734375,632.3558349609375,456.6897277832031,0.5730959,0.7029259,0.8250146,0.06488494,0.772967,0.80205107
4,1,0.9689052104949951,641.1597900390625,293.0269775390625,378.92431640625,356.0539855957031,575.7137451171875,267.8280029296875,725.0712890625,316.6109619140625,928.7637329101562,395.8728332519531,,,479.82391357421875,364.64276123046875,632.1412353515625,456.80035400390625,0.57240385,0.7040635,0.8253467,0.06537964,0.7710452,0.8007309
5,1,0.9535846710205078,638.47900390625,293.0579528808594,379.04949951171875,356.11590576171875,574.5247192382812,269.26959228515625,724.2886352539062,318.6285400390625,930.0516357421875,397.2059326171875,,,478.78302001953125,366.14508056640625,625.8045654296875,458.6918640136719,0.57515824,0.712759,0.83147025,0.06948051,0.75794756,0.7921409
6,1,0.9477619528770447,636.9178466796875,293.4103088378906,379.68292236328125,356.82061767578125,572.876708984375,269.5003967285156,721.9848022460938,319.2359313964844,928.1380615234375,397.18756103515625,,,480.94720458984375,366.1059875488281,625.518310546875,458.77215576171875,0.5700222,0.7167187,0.8328731,0.07221351,0.7469084,0.7873494
7,1,0.9561954736709595,635.0631103515625,293.5293884277344,379.81597900390625,357.05877685546875,570.99462890625,267.11016845703125,721.345703125,317.2189636230469,928.3359375,395.76318359375,,,472.609130859375,367.02264404296875,622.6680297851562,458.6605224609375,0.5753988,0.70027554,0.8340637,0.0662469,0.7650116,0.79690015
8,1,0.9508731961250305,632.4221801757812,293.9050598144531,380.2825012207031,357.81011962890625,568.3621826171875,264.8922119140625,718.408447265625,316.1029357910156,925.2440185546875,394.35955810546875,,,470.4200439453125,367.5284118652344,624.4232788085938,458.8806457519531,0.56712186,0.6840018,0.8308822,0.06314151,0.769861,0.79856366
9,1,0.9487837553024292,629.8385009765625,293.6978759765625,378.7838134765625,357.3957214355469,581.10498046875,255.304443359375,725.6151123046875,312.23138427734375,920.8933715820312,391.78814697265625,,,434.10589599609375,362.5225830078125,,,0.52517986,0.5658049,0.63856983,0.088288106,0.54899114,0.49038446
10,1,0.9488218426704407,628.9617919921875,293.6124267578125,377.5743713378906,357.2248840332031,581.18896484375,255.28497314453125,725.7059936523438,312.24334716796875,920.941650390625,391.79638671875,,,434.06109619140625,362.50640869140625,,,0.5252679,0.56574845,0.63844645,0.08827563,0.5491848,0.49066144
11,1,0.9493790864944458,626.70849609375,294.24432373046875,376.6681213378906,357.149658203125,579.639892578125,255.92001342773438,724.03076171875,313.5511474609375,918.7110595703125,393.1431884765625,,,431.7420959472656,363.0700378417969,,,0.52459556,0.5610787,0.6382803,0.088056624,0.5499515,0.4903976
12,1,0.9508617520332336,626.6094970703125,294.1414794921875,378.68499755859375,359.1147155761719,568.505859375,268.2696533203125,710.6010131835938,318.86871337890625,912.1837158203125,401.71234130859375,,,461.60894775390625,359.2769775390625,619.5005493164062,459.5262756347656,0.5663984,0.699342,0.80400616,0.05550283,0.79975855,0.82495403
13,1,0.9592871069908142,624.650146484375,294.42852783203125,380.347900390625,360.5050048828125,564.073974609375,267.1003723144531,708.2078857421875,317.70428466796875,912.7208251953125,401.37677001953125,,,457.2106628417969,358.7867126464844,621.289306640625,460.28173828125,0.5582755,0.68529063,0.802074,0.05021111,0.8067051,0.8290205
14,1,0.9636436104774475,622.9837646484375,294.5307312011719,381.15301513671875,361.01153564453125,561.577880859375,266.7502746582031,706.6893310546875,317.0534973144531,913.5142211914062,400.79046630859375,,,454.4522399902344,358.7900390625,622.8486938476562,460.3479919433594,0.55564666,0.6757133,0.8012083,0.047593284,0.8110545,0.8326409
15,1,0.9692705273628235,621.7601318359375,294.8941345214844,382.190673828125,361.8441162109375,559.5997924804688,267.4964294433594,706.6898193359375,318.3683166503906,913.761474609375,401.4504699707031,,,452.78729248046875,360.28070068359375,617.9840698242188,461.20208740234375,0.56196797,0.6874069,0.8094587,0.050042547,0.80465317,0.82755923
16,1,0.9692386388778687,621.3638305664062,295.02496337890625,382.6473083496094,362.1374206542969,559.6189575195312,267.47576904296875,706.6865844726562,318.345947265625,913.8040161132812,401.43389892578125,,,452.76507568359375,360.2448425292969,617.9542236328125,461.1933288574219,0.56188786,0.6872437,0.8094318,0.050008837,0.8046109,0.82757115
17,1,0.9681693911552429,620.6158447265625,295.0673522949219,382.876708984375,362.2264404296875,558.7019653320312,269.1512145996094,706.4751586914062,319.9996643066406,913.4725341796875,402.4216003417969,,,454.5575866699219,361.1375732421875,615.2814331054688,461.4088134765625,0.56267834,0.69875765,0.8132509,0.053971466,0.7924976,0.81944966
