epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3152,2.38114,7.66443,0.71017,3.97909,2.70658,0.04289,0.09003,0.0543,0.0173,0.00019,0.05944,0.00015,5e-05,1.87246,7.90644,0.70511,3.68235,1.93361,0.00011669,0.00011669,0.00011669
2,36.3258,1.41074,6.20248,0.74744,2.62233,1.66472,0.58517,0.99091,0.97012,0.74032,0.13952,0.24685,0.09625,0.01424,0.77915,6.18253,0.79591,4.98109,1.12846,0.000249555,0.000249555,0.000249555
3,49.8222,0.96016,4.40975,0.79952,1.66054,1.29332,0.84722,0.83566,0.85281,0.67482,0.64583,0.60769,0.50021,0.12856,0.69511,4.65591,0.82923,9.10869,1.11463,0.000381892,0.000381892,0.000381892
4,58.3922,0.79689,3.66889,0.75499,1.37533,1.1853,0.81579,0.8958,0.84498,0.62157,0.70007,0.78392,0.65424,0.20488,0.74045,3.72766,0.88721,6.70159,1.09299,0.0005137,0.0005137,0.0005137
5,72.6061,0.82175,3.18731,0.70632,1.35999,1.18601,0.68924,0.8028,0.68176,0.55002,0.65288,0.77203,0.61613,0.21496,0.73174,3.39056,0.76447,11.8345,1.09998,0.000644981,0.000644981,0.000644981
6,80.4924,0.7871,2.95994,0.70139,1.2883,1.17436,0.03724,0.88322,0.04758,0.03006,0.03176,0.6993,0.03074,0.00932,0.91523,4.05527,0.75765,inf,1.3404,0.000775733,0.000775733,0.000775733
7,89.0786,0.74931,2.60829,0.66427,1.12357,1.17226,0.1476,0.86364,0.15945,0.10443,0.09251,0.36923,0.08887,0.03202,0.88159,4.4042,0.78876,94.2116,1.53343,0.000905958,0.000905958,0.000905958
8,97.8441,0.71837,2.45301,0.64387,1.04306,1.17265,0.44259,0.73497,0.44488,0.27322,0.30842,0.46923,0.26659,0.07619,1.07526,3.3987,0.69467,50.1528,1.68576,0.00103565,0.00103565,0.00103565
9,105.437,0.8184,2.24163,0.64357,1.09059,1.2319,0.0083,0.17413,0.00702,0.00213,0.01075,0.21538,0.00418,0.0011,3.11872,7.05215,0.67586,254.691,4.55088,0.00116482,0.00116482,0.00116482
10,115.337,0.82608,2.16745,0.64051,1.07345,1.20368,0.02286,0.52984,0.01767,0.00948,0.02279,0.63706,0.01783,0.00666,1.61215,4.94433,0.65539,138.63,2.6716,0.00129346,0.00129346,0.00129346
11,123.544,0.79334,1.88948,0.62163,1.02298,1.16234,0.02032,0.32587,0.01682,0.0098,0.01552,0.27902,0.01143,0.00518,2.14598,6.29816,0.8295,inf,4.42911,0.00142157,0.00142157,0.00142157
12,134.45,0.74535,2.23425,0.61651,1.03773,1.15643,0.28016,0.4972,0.21106,0.11322,0.08192,0.38531,0.06626,0.02018,1.66349,6.0464,0.70616,15.5173,3.24249,0.00154916,0.00154916,0.00154916
13,142.68,0.71416,1.95157,0.61286,0.88639,1.17604,0.35249,0.29291,0.2223,0.1195,0.3202,0.34056,0.2049,0.10498,1.99625,5.66051,0.63647,3.61481,2.0489,0.00162739,0.00162739,0.00162739
14,155.248,0.84141,1.75173,0.60509,1.00209,1.22769,0.00379,0.25385,0.00342,0.00114,0.00284,0.27832,0.00291,0.00091,3.18363,5.74364,0.64348,156.114,4.20275,0.00162409,0.00162409,0.00162409
15,164.375,0.76696,1.46154,0.59831,0.9928,1.21517,0.17279,0.39161,0.16626,0.0814,0.19811,0.42797,0.14567,0.05855,1.69759,3.66926,0.60168,9.61415,2.13996,0.00162079,0.00162079,0.00162079
16,173.019,0.73992,1.62536,0.59226,0.86885,1.15342,0.13135,0.2979,0.11686,0.08122,0.15103,0.322,0.14269,0.05823,1.49694,3.74166,0.60985,8.01588,1.90359,0.00161749,0.00161749,0.00161749
17,186.247,0.64099,1.40242,0.58933,0.75937,1.08655,0.23025,0.3647,0.23851,0.12386,0.23767,0.31608,0.21264,0.08085,2.03659,4.92362,0.60194,12.5374,3.16627,0.00161419,0.00161419,0.00161419
18,199.089,0.64032,1.66111,0.58284,0.7284,1.10164,0.40779,0.71818,0.39587,0.31811,0.39732,0.70909,0.3641,0.20353,1.22197,2.72834,0.59673,12.0925,1.69791,0.00161089,0.00161089,0.00161089
19,210.546,0.63734,1.59577,0.60049,0.74855,1.09639,0.65914,0.69833,0.63746,0.5051,0.65482,0.68926,0.63328,0.41406,0.73324,2.39883,0.59611,2.93925,1.20708,0.00160759,0.00160759,0.00160759
