epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9541,1.51264,2.55268,1.3132,0.8671,0.45112,0.47514,0.29165,1.17965,1.39224,1.07301,0.00017148,0.00017148,0.00017148
2,30.4247,1.19749,0.90069,1.07926,0.66558,0.60338,0.52132,0.31214,1.15519,1.34515,1.07019,0.000356543,0.000356543,0.000356543
3,40.4608,1.23519,0.77883,1.10684,0.39537,0.49429,0.35495,0.19811,1.32804,2.26375,1.19307,0.00054087,0.00054087,0.00054087
4,48.6916,1.27185,0.89565,1.13209,0.49514,0.53102,0.46888,0.25503,1.33484,2.03867,1.21191,0.000724461,0.000724461,0.000724461
5,57.984,1.25371,0.77371,1.10421,0.00234,0.02701,0.00073,0.00062,3.04748,inf,9.5974,0.000907317,0.000907317,0.000907317
6,66.434,1.22378,0.75488,1.09716,0.75219,0.65558,0.7123,0.40331,1.37271,1.0463,1.26714,0.00108944,0.00108944,0.00108944
7,77.0468,1.2205,0.70778,1.10277,0.78819,0.69816,0.74138,0.3792,1.46283,1.01145,1.27849,0.00127082,0.00127082,0.00127082
8,86.3438,1.21018,0.71434,1.11208,0.84098,0.70469,0.73699,0.39174,1.3982,1.05068,1.30371,0.00140919,0.00140919,0.00140919
9,94.8091,1.21781,0.73706,1.11861,0.91676,0.66109,0.73623,0.40755,1.3958,0.93163,1.36378,0.00140636,0.00140636,0.00140636
10,107.269,1.23184,0.74992,1.11245,0.77014,0.74137,0.72417,0.37387,1.47767,0.98976,1.46632,0.00140354,0.00140354,0.00140354
11,115.218,1.21668,0.72273,1.11274,0.81071,0.70721,0.72906,0.40764,1.34273,0.91396,1.30554,0.00140071,0.00140071,0.00140071
12,124.919,1.18328,0.69408,1.1073,0.79589,0.76573,0.7858,0.42157,1.21552,0.84619,1.2184,0.00139788,0.00139788,0.00139788
13,136.791,1.16393,0.63398,1.0897,0.76492,0.75691,0.77371,0.43095,1.15522,0.83427,1.18343,0.00139505,0.00139505,0.00139505
14,146.047,1.11033,0.60921,1.05396,0.77687,0.75793,0.75817,0.46203,1.15121,0.72995,1.20281,0.00139222,0.00139222,0.00139222
15,154.969,1.12937,0.61811,1.07388,0.81327,0.76081,0.78761,0.4571,1.21214,0.74036,1.22716,0.00138939,0.00138939,0.00138939
16,163.929,1.14618,0.63038,1.08668,0.80244,0.73968,0.74967,0.43913,1.23412,0.66518,1.22627,0.00138656,0.00138656,0.00138656
17,172.395,1.16278,0.63489,1.08062,0.8641,0.75921,0.77351,0.42031,1.21011,0.73962,1.16806,0.00138373,0.00138373,0.00138373
18,181.056,1.12941,0.63653,1.07489,0.81286,0.72456,0.73147,0.40016,1.19247,0.68866,1.17235,0.0013809,0.0013809,0.0013809
19,189.481,1.116,0.61633,1.05858,0.82554,0.74225,0.76571,0.44279,1.21681,0.63959,1.24,0.00137807,0.00137807,0.00137807
20,198.323,1.1005,0.59219,1.0758,0.8672,0.72784,0.77414,0.46768,1.20068,0.67494,1.19439,0.00137524,0.00137524,0.00137524
21,207.098,1.13292,0.61536,1.08395,0.88035,0.76268,0.78838,0.50739,1.15392,0.63121,1.19991,0.00137241,0.00137241,0.00137241
22,216.431,1.0632,0.57596,1.05338,0.87134,0.75817,0.79724,0.46331,1.19549,0.64921,1.20542,0.00136958,0.00136958,0.00136958
23,224.737,1.03996,0.56267,1.03805,0.80095,0.84068,0.81283,0.48968,1.19467,0.61915,1.18796,0.00136675,0.00136675,0.00136675
24,233.886,1.03521,0.56338,1.03331,0.74238,0.76145,0.75771,0.4756,1.15764,0.65764,1.17967,0.00136392,0.00136392,0.00136392
25,242.198,1.05758,0.56112,1.03466,0.80511,0.72073,0.75814,0.41758,1.2635,0.63359,1.21865,0.00136109,0.00136109,0.00136109
26,251.294,1.0397,0.55175,1.03328,0.78138,0.75485,0.74097,0.4559,1.20045,0.62702,1.19419,0.00135826,0.00135826,0.00135826
27,259.403,1.05764,0.55564,1.04456,0.86869,0.77455,0.78378,0.48334,1.15565,0.59196,1.17529,0.00135544,0.00135544,0.00135544
28,268.644,1.04046,0.54879,1.03564,0.8229,0.70173,0.74977,0.45191,1.18403,0.61504,1.17812,0.00135261,0.00135261,0.00135261
29,276.687,1.04268,0.56264,1.04057,0.84641,0.71358,0.74589,0.42772,1.18543,0.59,1.20562,0.00134978,0.00134978,0.00134978
30,285.779,0.99587,0.54263,1.01776,0.84601,0.71638,0.74205,0.43922,1.21312,0.57072,1.21972,0.00134695,0.00134695,0.00134695
31,293.668,0.9858,0.51997,1.01497,0.7967,0.79512,0.75032,0.45355,1.18513,0.57422,1.22069,0.00134412,0.00134412,0.00134412
32,302.983,1.0286,0.53387,1.03666,0.80495,0.79184,0.76886,0.50875,1.11322,0.56279,1.16713,0.00134129,0.00134129,0.00134129
